NAME,SMILES
230,[*:1]CC1=CN(N=N1)CCOCCN[*:2]
231,[*:1]CC1=CN(N=N1)CCOCCOCCN[*:2]
232,[*:1]CC1=CN(N=N1)CCOCCOCCOCCN[*:2]
233,[*:1]CC1=CN(N=N1)CCOCCOCCOCCOCCN[*:2]
234,[*:1]CCC(=O)NCCOCCOCCOC[*:2]
235,[*:1]CCC(=O)NCCOCCOCCOCCOC[*:2]
236,[*:1]OCC(=O)NCCOCCOCCOC[*:2]
237,[*:1]OCC(=O)NCCOCCOCCOCCOC[*:2]
238,[*:1]C(=O)NCCOCCOCCOC[*:2]
239,[*:1]C(=O)NCCOCCOCCOCCOC[*:2]
240,[*:1]CNCCOCCOCCOC[*:2]
241,[*:1]CNCCOCCOCCOCCOC[*:2]
242,[*:1]CC(=O)NCCOCCOCCOC[*:2]
243,[*:1]CC(=O)NCCOCCOCCOCCOC[*:2]
244,[*:1]C(=O)NCCOCCOCCOCC(=O)[*:2]
245,[*:1]C(=O)NCCOCCOCCOCCOCC(=O)[*:2]
246,[*:1]CNCCOCCOCCOCC(=O)[*:2]
247,[*:1]CNCCOCCOCCOCCOCC(=O)[*:2]
248,[*:1]CC(=O)NCCOCCOCCOCC(=O)[*:2]
249,[*:1]CC(=O)NCCOCCOCCOCCOCC(=O)[*:2]
250,[*:1]CCC(=O)NCCOCCOCCOCC(=O)[*:2]
251,[*:1]CCC(=O)NCCOCCOCCOCCOCC(=O)[*:2]
252,[*:1]OCC(=O)NCCOCCOCCOCC(=O)[*:2]
253,[*:1]OCC(=O)NCCOCCOCCOCCOCC(=O)[*:2]
254,[*:1]C(=O)NCCOCCOCCOCCO[*:2]
255,[*:1]C(=O)NCCOCCOCCOCCOCCOCCO[*:2]
256,[*:1]CNCCOCCOCCOCCOCCOCCO[*:2]
257,[*:1]CNCCOCCOCCOCCO[*:2]
258,[*:1]CC(=O)NCCOCCOCCOCCO[*:2]
259,[*:1]CC(=O)NCCOCCOCCOCCOCCOCCO[*:2]
260,[*:1]CCC(=O)NCCOCCOCCOCCO[*:2]
261,[*:1]CCC(=O)NCCOCCOCCOCCOCCOCCO[*:2]
262,[*:1]OCC(=O)NCCOCCOCCOCCOCCOCCO[*:2]
263,[*:1]C(=O)CCCCCOCCOCCOCCCCC[*:2]
264,[*:1]C(=O)CCOCCOCCOCCOCCOCC[*:2]
265,[*:1]C(=O)CCOCCOCCOCCOCC[*:2]
266,[*:1]C(=O)CCOCCOCCOCC[*:2]
267,[*:1]C(=O)CCOCCOCC[*:2]
268,[*:1]C(=O)COCCOC[*:2]
269,[*:1]C(=O)CCCCCCCCCCCCCC[*:2]
270,[*:1]C(=O)CCCCCCCCCCCC[*:2]
271,[*:1]C(=O)CCCCCCCC[*:2]
272,[*:1]C(=O)CCCCCC[*:2]
273,[*:1]C(=O)CC[*:2]
274,[*:1]C(=O)CCCC1=CN(N=N1)CCC[*:2]
275,[*:1]C(=O)CNC(=O)CCC[*:2]
276,[*:1]C(=O)CCCCNC(=O)CCCCCCCC[*:2]
277,[*:1]CCCCCNC(=O)CCCCCCCC[*:2]
278,[*:1]CCCCC#C[*:2]
279,[*:1]CCCCCC#C[*:2]
280,[*:1]CCCCCCCCC#C[*:2]
281,[*:1]OCCCCC#C[*:2]
282,[*:1]NCCCCC#C[*:2]
283,[*:1]C1=CN(N=C1)CCCC#C[*:2]
284,[*:1]CCCN1C=C(C=N1)C#C[*:2]
285,[*:1]N1CCC(CC1)CCC#C[*:2]
286,[*:1]CCN1CCC(CC1)C#C[*:2]
287,[*:1]CC(=O)N1CCC(CC1)C#C[*:2]
288,[*:1]NCCCCCC(=O)NCCCCCC[*:2]
289,[*:1]C(=O)CCCCCCCCC[*:2]
290,[*:1]CCOCCOCCNC(=O)C[*:2]
291,[*:1]C(=O)CCC#C[*:2]
292,[*:1]C(=O)CCCC#C[*:2]
293,[*:1]C(=O)CCCCC#C[*:2]
294,[*:1]C(=O)CNC(=O)CCC#C[*:2]
295,[*:1]C(=O)CNC(=O)CCCC#C[*:2]
296,[*:1]C(=O)CNC(=O)CCCCC#C[*:2]
297,[*:1]CC#C[*:2]
298,[*:1]C(=O)C[*:2]
299,[*:1]CCCCC(=O)[*:2]
300,[*:1]CC(=O)NCCC(=O)[*:2]
301,[*:1]C(=O)CCCCCCCCCCC(=O)[*:2]
302,[*:1]C(=O)CCCCCCCCCCCN[*:2]
303,[*:1]CCCCCCCCCCCCN[*:2]
304,[*:1]C(=O)CCCCCCCCCC[*:2]
305,[*:1]C(=O)CCCCCCCCCN[*:2]
306,[*:1]C(=O)CCCCCCCN[*:2]
307,[*:1]C(=O)CCCCCN[*:2]
308,[*:1]C(=O)CCOCC[*:2]
309,[*:1]CCC(=O)NCCOCC[*:2]
310,[*:1]CCC(=O)NCCOCCOCCOCCOCCOCC[*:2]
311,[*:1]CCC(=O)NCCCCCC[*:2]
312,[*:1]CCC(=O)NCCCCCCCCO[*:2]
313,[*:1]C(=O)CCCCCNC(=O)CO[*:2]
314,[*:1]C(=O)CCC(=O)NCC[*:2]
315,[*:1]C(=O)CCC(=O)NCCCC[*:2]
316,[*:1]C(=O)CCC(=O)NCCCCCC[*:2]
317,[*:1]C(=O)CCC(=O)NCCNC(=O)CO[*:2]
318,[*:1]C(=O)CCC(=O)NCCCCCCNC(=O)CO[*:2]
319,[*:1]C(=O)COCCOCCNC(=O)CO[*:2]
320,[*:1]C(=O)COCCCOC[*:2]
321,[*:1]C(=O)COCCOCCOCCOCC[*:2]
322,[*:1]C(=O)NCCOCCOCC[*:2]
323,[*:1]C(=S)NCCOCCOCC[*:2]
324,[*:1]C(=O)CCCN1C=C(N=N1)COCCOCC[*:2]
325,[*:1]C(=O)CCCN1C=C(N=N1)COCCOCCOCC[*:2]
326,[*:1]C(=O)CCCCCCN1C=C(N=N1)COCCOCC[*:2]
327,[*:1]C(=O)CCCCCCN1C=C(N=N1)COCCOCCOCC[*:2]
328,[*:1]CCCCCCCN1C=C(N=N1)COCCOCC[*:2]
329,[*:1]CCCCCCCN1C=C(N=N1)COCCOCCOCC[*:2]
330,[*:1]C1=CN(N=N1)CCO[*:2]
331,[*:1]C1=CN(N=N1)CCCCCO[*:2]
332,[*:1]C1=CN(N=N1)CCCCCCO[*:2]
333,[*:1]C1=CN(N=N1)CCCCCCCCO[*:2]
334,[*:1]NCCCCCC(=O)[*:2]
335,[*:1]NC(=O)CCC(=O)NCCCCCC(=O)[*:2]
336,[*:1]NCCOCCOCCOCCC(=O)[*:2]
337,[*:1]NCCOCCOCCOCCOCCOCCOCCOCCC(=O)[*:2]
338,[*:1]=NOCC(=O)NCCOCC[*:2]
339,[*:1]=NOCC(=O)NCCOCCOCC[*:2]
340,[*:1]=NOCC(=O)NCCOCCOCCOCC[*:2]
341,[*:1]CC(=O)NCCCCCC[*:2]
342,[*:1]CCCCCCNC(=O)CO[*:2]
343,[*:1]CCCNC(=O)CO[*:2]
344,[*:1]CCNC(=O)CO[*:2]
345,[*:1]C(=O)NCCOCCOCCOCC[*:2]
346,[*:1]C(=O)NCCOCCOCCOCCOCC[*:2]
347,[*:1]C(=O)CCCN1C=C(N=N1)COCCOCCOCC(=O)[*:2]
348,[*:1]CC1=CN(N=N1)CCCCC(=O)[*:2]
349,[*:1]NC(=O)CCCC1=CN(N=N1)CCOCC[*:2]
350,[*:1]NC(=O)CCCC1=CN(N=N1)CCOCCOCC[*:2]
351,[*:1]NC(=O)CCCC1=CN(N=N1)CCOCCOCCOCC[*:2]
352,[*:1]NC(=O)CCCC1=CN(N=N1)CCOCCOCCOCCOCC[*:2]
353,[*:1]CCCCCNC(=O)CO[*:2]
354,[*:1]CCCCCCCCCCCNC(=O)CO[*:2]
355,[*:1]OCCCNC(=O)COCCOCCOCCN[*:2]
356,[*:1]=NOCC(=O)NCCOCCOCCN[*:2]
357,[*:1]C(=O)COCCOCCOCCN[*:2]
358,[*:1]CCC(=O)NCC[*:2]
359,[*:1]CCC(=O)NCCC[*:2]
360,[*:1]CCC(=O)NCCCC[*:2]
361,[*:1]CCC(=O)NCCCCC[*:2]
362,[*:1]CCOCCOCCOCC(=O)[*:2]
363,[*:1]CC(=O)NCCOCCOCCOCCC(=O)[*:2]
364,[*:1]C(=O)CCCCN[*:2]
365,[*:1]C(=O)CCCCCCN[*:2]
366,[*:1]C(=O)CCCCCCCCCCN[*:2]
367,[*:1]C(=O)CCOCCC[*:2]
368,[*:1]OCCCCCCCCCC(=O)[*:2]
369,[*:1]OCCCCCCCCC[*:2]
370,[*:1]OCCOCCOCCOCCOCC(=O)[*:2]
371,[*:1]OCCOCCOCCOCCOC[*:2]
372,[*:1]OCCOCCOCCOCCOCCOCCOCC(=O)[*:2]
373,[*:1]OCCOCCOCCOCCOCCOCCOC[*:2]
374,[*:1]CCOCCOCCOCCOCCOCCOCC(=O)[*:2]
375,[*:1]CCOCCOCCOCCOCCOCCOC[*:2]
376,[*:1]CC(=O)NCCCC(=O)[*:2]
