Date,IP,PROTAC,WARHEAD,LINKER,LIGASE
2025-12-02_20-40-24,172.19.240.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OC(=O)N1CCN(C2C[C@@H](C(=O)NCC3=CC=C(C4=C(C)N=CO4)C=C3)N(C(=O)CC(C)(C)C)C2)CC1)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C(=O)N1CCN([2*])CC1,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
2025-12-02_20-49-58,172.19.240.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OC#CC1CCN(C2C[C@@H](C(=O)NCC3=CC=C(C4=C(C)N=CO4)C=C3)N(C(=O)CC(C)(C)C)C2)CC1)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C#CC1CCN([2*])CC1,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
2025-12-02_21-06-30,172.19.240.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)ON1CCN(C(=O)C2C[C@@H](C(=O)NCC3=CC=C(C4=C(C)N=CO4)C=C3)N(C(=O)CC(C)(C)C)C2)CC1)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]N1CCN(C([2*])=O)CC1,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
2025-12-02_21-45-06,172.19.240.1,CC1=C(C2=CC=C(CNC(=O)[C@@H]3CC(N4CCN(C(=O)OC(=O)CC5=CC(Cl)=C(Cl)C=C5)CC4)CN3C(=O)CC(C)(C)C)C=C2)OC=N1,[1*]OC(=O)CC1=CC(Cl)=C(Cl)C=C1,[1*]C(=O)N1CCN([2*])CC1,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
2025-12-02_22-06-06,172.19.240.1,CC1=C(C2=CC=C(CNC(=O)[C@@H]3CC(C(=O)N4CCN(/C5=N/C6=CN=CC=C6N5C5=CC=C(CN6C(=O)SC7=CC=CC=C76)C=C5)CC4)CN3C(=O)CC(C)(C)C)C=C2)OC=N1,[1*]/C1=N/C2=CN=CC=C2N1C1=CC=C(CN2C(=O)SC3=CC=CC=C32)C=C1,[1*]N1CCN(C([2*])=O)CC1,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
2025-12-02_22-15-46,172.19.240.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)ON1CCN(C(=O)C2C[C@@H](C(=O)NCC3=CC=C(C4=C(C)N=CO4)C=C3)N(C(=O)CC(C)(C)C)C2)CC1)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]N1CCN(C([2*])=O)CC1,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
2025-12-02_22-20-51,172.19.240.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)N1CCN(C(=O)C2C[C@@H](C(=O)NCC3=CC=C(C4=C(C)N=CO4)C=C3)N(C(=O)CC(C)(C)C)C2)CC1)C(C)(C)C)C(C)(C)C,[1*]C(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]N1CCN(C([2*])=O)CC1,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
2025-12-02_22-22-24,172.19.240.1,CC1=C(C2=CC=C(CNC(=O)[C@@H]3CC(C(=O)N4CCN(C5(C)CC(NC(=O)C(=O)NC6=CC=C(Cl)C=C6)CC(C)(C)N5)CC4)CN3C(=O)CC(C)(C)C)C=C2)OC=N1,[1*]C1(C)CC(NC(=O)C(=O)NC2=CC=C(Cl)C=C2)CC(C)(C)N1,[1*]N1CCN(C([2*])=O)CC1,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
2025-12-02_22-24-28,172.19.240.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OC(=O)N1CCN(C2C[C@@H](C(=O)NCC3=CC=C(C4=C(C)N=CO4)C=C3)N(C(=O)CC(C)(C)C)C2)CC1)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]C(=O)N1CCN([2*])CC1,[2*][C@@H]1C[C@@H](C(=O)NCC2=CC=C(C3=C(C)N=CO3)C=C2)N(C(=O)CC(C)(C)C)C1
2025-12-03_17-11-16,172.19.240.1,O=C1CC[C@H](N2C(=O)C3=C\C=C(N4CCOC(CCC(=O)N5CCN(CC6CN[C@H](CNC(=O)C(=O)NC7=CC=C(Cl)C(F)=C7)C7=CC=CC=C76)CC5)C4)/C=C\3C2=O)C(=O)N1,[1*]CC1CN[C@H](CNC(=O)C(=O)NC2=CC=C(Cl)C(F)=C2)C2=CC=CC=C21,[1*]N1CCN(C(=O)C[2*])CC1,[2*]CC1CN(C2=CC=C3C(=O)N([C@H]4CCC(=O)NC4=O)C(=O)C3=C2)CCO1
2025-12-03_17-43-23,172.19.240.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CN1CCN(C(=O)C2=C/C=C3\C(=O)N([C@H]4CCC(=O)NC4=O)C(=O)\C3=C\2)CC1)C(C)(C)C)C(C)(C)C,[1*]CC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]N1CCN(C([2*])=O)CC1,[2*]C1=CC=C2C(=O)N([C@H]3CCC(=O)NC3=O)C(=O)C2=C1
2025-12-06_06-25-50,172.19.240.1,COC(=O)N[C@H](C(=O)NN(CC1=CC=C(C2=CC=CC=N2)C=C1)C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)OCC1CC(C#CCCC2C[C@]3(CCN2)COC2=C3/C=C\N3C(N4C=CC(=O)NC4=O)=CN=C23)CCN1)C(C)(C)C)C(C)(C)C,[1*]OC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,[1*]CC1CC(C#CC[2*])CCN1,[2*]CC1C[C@]2(CCN1)COC1=C2C=CN2/C1=N\C=C/2N1C=CC(=O)NC1=O
2025-12-18_13-11-19,127.0.0.1,CC(C)N(C)C1=NC=NC2=C1C=NN2CC(=O)N1CCN(CC(=O)CC[C@H](NC(=O)[C@H](CC2=CC=CC=C2)NC[C@H](O)[C@H](CC2=CC=CC=C2)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C(N)=O)CC1,[1*]C(=O)CC[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O,[1*]CN1CCN(C(=O)C[2*])CC1,[2*]N1N=CC2=C1N=CN=C2N(C)C(C)C
2026-01-07_11-43-53,127.0.0.1,CC1=C([C@H](OC(C)(C)C)C(=O)O)C(C2=C(C)C3=C(C=C2)OC(CC(=O)NCC2=CC=C(C4=NNC=C5C6CC(C(=O)NCCCC(=O)CCC7=C(C8=CC=C(CNC(=O)[C@@H]9C[C@@H](O)CN9C(=O)[C@@H](NC(=O)C9(F)CC9)C(C)(C)C)C=C8)SC=N7)C(C6)C54)C=C2)CC3)=C2C=CN(CC3=CC=C(F)C(F)=C3)C2=N1,[1*]C1CCC2=C(C=CC(C3=C4C=CN(CC5=CC=C(F)C(F)=C5)C4=NC(C)=C3[C@H](OC(C)(C)C)C(=O)O)=C2C)O1,[1*]CC(=O)NCC1=CC=C(C2=NNC=C3C4CC(C(=O)NCCCC(=O)C[2*])C(C4)C32)C=C1,[2*]CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C3(F)CC3)C(C)(C)C)C=C2)SC=N1
2026-01-07_14-29-36,127.0.0.1,COC1=CC(N=N)=CC(OC(=O)CC2=CC(Cl)=C(Cl)C=C2)=C1OCC(=O)NCCCNC(=O)COCOC1=CC(C(N)=O)=CC=C1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)NC3=C2SC(Cl)=C3)[C@H]1C1=CC=CC(Cl)=C1F,[1*]C(=O)CC1=CC(Cl)=C(Cl)C=C1,[1*]OC1=C(OCC(=O)NCCCNC(=O)CO[2*])C(OC)=CC(N=N)=C1,[2*]COC1=CC(C(N)=O)=CC=C1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)NC3=C2SC(Cl)=C3)[C@H]1C1=CC=CC(Cl)=C1F
2026-01-07_16-35-45,127.0.0.1,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(CC(=O)C2=C(C3=C(C4=CC=CC=C4)N=CN3CC3=CC=C(Cl)C=C3)C3=CC=C(Cl)C=C3N2)C(O)=CC=C1,[1*]C1=C(C(=O)N[C@@H](CSC2=CC=CC=C2)[C@H](O)CN2C[C@H]3CCCC[C@H]3C[C@H]2C(=O)NC(C)(C)C)C=CC=C1O,[1*]C[2*],[2*]C(=O)C1=C(C2=C(C3=CC=CC=C3)N=CN2CC2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2N1
2026-01-07_19-57-05,127.0.0.1,O=C(O)CN1N=C(C(F)(F)F)C2=C1CC(CCC1=CC=C(O[C@H]3C[C@H](OC4CCN(CCOC5=NOC(CC6=CC7=C8NCCN8[C@H](C8=CC=CC=C8F)C=C7C=C6)=C5)CC4)C3)N=C1)CC2,[1*]CC1CCC2=C(C1)N(CC(=O)O)N=C2C(F)(F)F,[1*]CC1=CC=C(O[C@H]2C[C@H](OC3CCN(CCOC4=NOC(C[2*])=C4)CC3)C2)N=C1,[2*]C1=CC2=C3NCCN3[C@H](C3=CC=CC=C3F)C=C2C=C1
